ID,Station ID,Station Longitude,Station Latitude,Station Name,Station County,Atlanta
480,13063040427,-84.27782083548387,33.56914902580645,07 Atlanta Regional WIB,"Clayton County, GA",1
481,13063040509,-84.448177974,33.582082308,07 Atlanta Regional WIB,"Clayton County, GA",1
482,13063040510,-84.42660342888888,33.58713430666667,07 Atlanta Regional WIB,"Clayton County, GA",1
483,13063040512,-84.42613432878787,33.57160065,07 Atlanta Regional WIB,"Clayton County, GA",1
484,13063040513,-84.43493089253732,33.55810054776119,07 Atlanta Regional WIB,"Clayton County, GA",1
485,13063040518,-84.39183767317074,33.511452848780486,07 Atlanta Regional WIB,"Clayton County, GA",1
486,13063040519,-84.41739702222223,33.593315077777774,07 Atlanta Regional WIB,"Clayton County, GA",1
487,13063040521,-84.3938323131579,33.57144272368421,07 Atlanta Regional WIB,"Clayton County, GA",1
488,13063040522,-84.40290652372882,33.583675623728816,07 Atlanta Regional WIB,"Clayton County, GA",1
489,13063040523,-84.40963313548387,33.55742597096774,07 Atlanta Regional WIB,"Clayton County, GA",1
490,13063040525,-84.402476,33.50280562142857,07 Atlanta Regional WIB,"Clayton County, GA",1
491,13063040527,-84.4280265,33.5456852,07 Atlanta Regional WIB,"Clayton County, GA",1
492,13063040528,-84.42472080277778,33.53377566388889,07 Atlanta Regional WIB,"Clayton County, GA",1
493,13063040529,-84.4000194897436,33.52910600769231,07 Atlanta Regional WIB,"Clayton County, GA",1
494,13063040530,-84.41125712903225,33.53037689354839,07 Atlanta Regional WIB,"Clayton County, GA",1
495,13063040531,-84.42250055,33.600264016666664,07 Atlanta Regional WIB,"Clayton County, GA",1
496,13063040532,-84.41496338888889,33.60103835555556,07 Atlanta Regional WIB,"Clayton County, GA",1
497,13063040533,-84.38985287741936,33.54627165806452,07 Atlanta Regional WIB,"Clayton County, GA",1
498,13063040534,-84.39945485,33.56141893636364,07 Atlanta Regional WIB,"Clayton County, GA",1
499,13063040535,-84.39395916666666,33.53560298181819,07 Atlanta Regional WIB,"Clayton County, GA",1
500,13063040536,-84.3838565090909,33.52893875909091,07 Atlanta Regional WIB,"Clayton County, GA",1
501,13063040537,-84.41432492272726,33.50651577727273,07 Atlanta Regional WIB,"Clayton County, GA",1
502,13063040538,-84.41573895294118,33.51585948823529,07 Atlanta Regional WIB,"Clayton County, GA",1
503,13063040606,-84.31338571777778,33.454189103333334,07 Atlanta Regional WIB,"Clayton County, GA",1
504,13063040609,-84.33274708219177,33.54155436027398,07 Atlanta Regional WIB,"Clayton County, GA",1
505,13063040614,-84.30687718333334,33.523850695,07 Atlanta Regional WIB,"Clayton County, GA",1
506,13063040615,-84.30254770625,33.5438826375,07 Atlanta Regional WIB,"Clayton County, GA",1
507,13063040617,-84.2662384875,33.55859204375,07 Atlanta Regional WIB,"Clayton County, GA",1
508,13063040623,-84.35778280350877,33.471574184210525,07 Atlanta Regional WIB,"Clayton County, GA",1
509,13063040624,-84.35737885294118,33.48044430588236,07 Atlanta Regional WIB,"Clayton County, GA",1
510,13063040625,-84.33567379565217,33.45984310652174,07 Atlanta Regional WIB,"Clayton County, GA",1
511,13063040626,-84.35481654,33.46193559666667,07 Atlanta Regional WIB,"Clayton County, GA",1
512,13063040627,-84.34104328,33.51470583384615,07 Atlanta Regional WIB,"Clayton County, GA",1
513,13063040628,-84.31329550370371,33.50087602222222,07 Atlanta Regional WIB,"Clayton County, GA",1
514,13063040629,-84.37238650416667,33.5449889625,07 Atlanta Regional WIB,"Clayton County, GA",1
515,13063040630,-84.35822769333333,33.54443156,07 Atlanta Regional WIB,"Clayton County, GA",1
516,13063040631,-84.36817188867924,33.496760718867925,07 Atlanta Regional WIB,"Clayton County, GA",1
517,13063040632,-84.28123758235293,33.55501244705882,07 Atlanta Regional WIB,"Clayton County, GA",1
518,13063040633,-84.29845075151515,33.56397104848485,07 Atlanta Regional WIB,"Clayton County, GA",1
519,13063040634,-84.36689945897436,33.52654775897436,07 Atlanta Regional WIB,"Clayton County, GA",1
520,13063040635,-84.35700614303796,33.522317931645574,07 Atlanta Regional WIB,"Clayton County, GA",1
521,13063040636,-84.36324876,33.408271462222224,07 Atlanta Regional WIB,"Clayton County, GA",1
522,13063040637,-84.33071870769231,33.44154958076923,07 Atlanta Regional WIB,"Clayton County, GA",1
523,13063040638,-84.39328091818182,33.42633095,07 Atlanta Regional WIB,"Clayton County, GA",1
524,13063040639,-84.36762789459459,33.43552002162162,07 Atlanta Regional WIB,"Clayton County, GA",1
525,13063980000,-84.43697283194444,33.63321376527777,07 Atlanta Regional WIB,"Clayton County, GA",1
528,13067030104,-84.67146812372881,34.07209593898305,04 Cobb County WIB,"Cobb County, GA",1
529,13067030107,-84.62635732058823,34.074985167647064,04 Cobb County WIB,"Cobb County, GA",1
530,13067030108,-84.70148508823529,34.03925932549019,04 Cobb County WIB,"Cobb County, GA",1
531,13067030109,-84.71127652881356,34.06652411864407,04 Cobb County WIB,"Cobb County, GA",1
532,13067030110,-84.66817937600001,34.041185618,04 Cobb County WIB,"Cobb County, GA",1
533,13067030111,-84.66468604591836,34.05808082448979,04 Cobb County WIB,"Cobb County, GA",1
534,13067030112,-84.65371900714285,34.06877537857143,04 Cobb County WIB,"Cobb County, GA",1
535,13067030113,-84.64008007027027,34.067478662162166,04 Cobb County WIB,"Cobb County, GA",1
536,13067030220,-84.5635063625,34.053551225,04 Cobb County WIB,"Cobb County, GA",1
537,13067030233,-84.61392891666667,33.91790482333333,04 Cobb County WIB,"Cobb County, GA",1
538,13067030235,-84.67720746129032,33.93089413548387,04 Cobb County WIB,"Cobb County, GA",1
539,13067030236,-84.72724870344827,33.98704281034483,04 Cobb County WIB,"Cobb County, GA",1
540,13067030240,-84.65763727199999,34.025125532000004,04 Cobb County WIB,"Cobb County, GA",1
541,13067030241,-84.66335392222223,34.0060357,04 Cobb County WIB,"Cobb County, GA",1
542,13067030242,-84.63542887714286,34.01858833428571,04 Cobb County WIB,"Cobb County, GA",1
543,13067030243,-84.62765923275862,34.00600241034483,04 Cobb County WIB,"Cobb County, GA",1
544,13067030244,-84.68804303448275,33.99920667586207,04 Cobb County WIB,"Cobb County, GA",1
545,13067030245,-84.63005299411765,34.05112808235294,04 Cobb County WIB,"Cobb County, GA",1
546,13067030246,-84.60922770434783,34.036706,04 Cobb County WIB,"Cobb County, GA",1
547,13067030247,-84.57380873000001,34.04383301,04 Cobb County WIB,"Cobb County, GA",1
548,13067030248,-84.56228306226414,34.024320303773585,04 Cobb County WIB,"Cobb County, GA",1
549,13067030249,-84.612579,33.999082972340425,04 Cobb County WIB,"Cobb County, GA",1
550,13067030250,-84.63967601388889,33.97240004166667,04 Cobb County WIB,"Cobb County, GA",1
551,13067030251,-84.62749112499999,33.952818525,04 Cobb County WIB,"Cobb County, GA",1
